Date,Open,High,Low,Close,Adj Close,Volume
2011-05-30,13493.9365234375,17680.0,17900.0,17520.0,17900.0,10293600
2011-05-31,13768.7001953125,18040.0,18280.0,17720.0,17800.0,23887550
2011-06-01,13906.0791015625,18220.0,18240.0,17900.0,18040.0,15678500
2011-06-02,13478.6728515625,17660.0,17940.0,17600.0,17880.0,16582950
2011-06-03,13509.203125,17700.0,17800.0,17540.0,17800.0,10067100
2011-06-07,13539.7275390625,17740.0,17780.0,17380.0,17520.0,15110100
2011-06-08,13387.0859375,17540.0,17800.0,17500.0,17700.0,12938850
2011-06-09,13203.9091796875,17300.0,17580.0,17300.0,17540.0,21511200
2011-06-10,12990.2021484375,17020.0,17480.0,17020.0,17400.0,19586600
2011-06-13,13020.73046875,17060.0,17060.0,16760.0,16880.0,15062450
2011-06-14,13173.3798828125,17260.0,17460.0,16960.0,17020.0,10642700
2011-06-15,13203.9091796875,17300.0,17380.0,17020.0,17320.0,13283100
2011-06-16,12944.4072265625,16960.0,17160.0,16880.0,17060.0,11940550
2011-06-17,12501.732421875,16380.0,17040.0,16060.0,17020.0,36058100
2011-06-20,12211.705078125,16000.0,16280.0,15900.0,16260.0,23580500
2011-06-21,12425.4111328125,16280.0,16400.0,15960.0,16000.0,18844400
2011-06-22,12608.587890625,16520.0,16660.0,16440.0,16480.0,16530400
2011-06-23,12684.9111328125,16620.0,16780.0,16400.0,16500.0,13858400
2011-06-24,13005.4677734375,17040.0,17080.0,16420.0,16420.0,23453150
2011-06-27,12745.970703125,16700.0,16940.0,16560.0,16940.0,15207250
2011-06-28,12700.1748046875,16640.0,17060.0,16620.0,16800.0,11950100
2011-06-29,12723.0869140625,16660.0,16980.0,16640.0,16960.0,10348200
2011-06-30,12616.16796875,16520.0,16700.0,16420.0,16660.0,16408950
2011-07-01,13059.109375,17100.0,17200.0,16760.0,16860.0,22133050
2011-07-04,13410.4111328125,17560.0,17660.0,17380.0,17400.0,21439450
2011-07-05,13731.1591796875,17980.0,17980.0,17560.0,17600.0,21107200
2011-07-06,13715.8818359375,17960.0,17960.0,17740.0,17860.0,11215100
2011-07-07,13440.955078125,17600.0,17960.0,17580.0,17960.0,17861200
2011-07-08,13517.326171875,17700.0,17760.0,17460.0,17600.0,12070450
2011-07-11,13211.8466796875,17300.0,17600.0,17240.0,17600.0,15974500
2011-07-12,12982.736328125,17000.0,17220.0,16920.0,17200.0,12397200
2011-07-13,12875.822265625,16860.0,17100.0,16720.0,16960.0,16430600
2011-07-14,12692.5380859375,16620.0,16700.0,16460.0,16700.0,20363350
2011-07-15,12707.8095703125,16640.0,16800.0,16420.0,16600.0,13621800
2011-07-18,12417.609375,16260.0,16600.0,16220.0,16560.0,18189050
2011-07-19,12555.07421875,16440.0,16540.0,16120.0,16120.0,14537100
